,
Procedure + Quantity,CHARGE
Rpr f/e/e/n/l/m 2.5 cm/< - 1,353
Rpr f/e/e/n/l/m 2.6-5.0 cm - 1,353
Rpr f/e/e/n/l/m 5.1-7.5 cm - 1,353
Rpr f/e/e/n/l/m 7.6-12.5 cm - 1,353
Rpr fe/e/en/l/m 12.6-20.0 cm - 1,628
Rpr fe/e/en/l/m 20.1-30.0 cm - 1,628
Rpr f/e/e/n/l/m >30.0 cm - 1,353
Closure of split wound - 1,639
Intmd rpr s/a/t/ext 2.5 cm/< - 1,628
Intmd rpr s/a/t/ext 2.6-7.5 - 1,628
Intmd rpr s/tr/ext 7.6-12.5 - 1,628
Intmd rpr s/a/t/ext 12.6-20 - 1,628
Intmd rpr s/a/t/ext 20.1-30 - 1,966
Intmd rpr s/tr/ext >30.0 cm - 1,3098
Intmd rpr n-hf/genit 2.5cm/< - 1,628
Intmd rpr n-hf/genit2.6-7.5 - 1,628
Intmd rpr n-hf/genit7.6-12.5 - 1,966
Intmd rpr n-hf/genit12.6-20 - 1,966
Intmd rpr n-hf/genit20.1-30 - 1,353
Intmd rpr n-hf/genit >30.0cm - 1,353
Intmd rpr face/mm 2.5 cm/< - 1,628
Intmd rpr face/mm 2.6-5.0 cm - 1,628
Intmd rpr face/mm 5.1-7.5 cm - 1,628
Intmd rpr face/mm 7.6-12.5cm - 1,628
Intmd rpr face/mm 12.6-20 cm - 1,628
Intmd rpr face/mm 20.1-30.0 - 1,628
Intmd rpr face/mm >30.0 cm - 1,628
Cmplx rpr trunk 1.1-2.5 cm - 1,628
Cmplx rpr trunk 2.6-7.5 cm - 1,966
Cmplx rpr trunk addl 5cm/< - 1,516
Cmplx rpr s/a/l 1.1-2.5 cm - 1,966
Cmplx rpr s/a/l 2.6-7.5 cm - 1,966
Cmplx rpr s/a/l addl 5 cm/> - 1,352
Cmplx rpr f/c/c/m/n/ax/g/h/f - 1,628
Cmplx rpr f/c/c/m/n/ax/g/h/f - 1,966
Cmplx rpr f/c/c/m/n/ax/g/h/f - 1,757
Complex Repair Lip 1.0 Or Less - 1,860
Cmplx rpr e/n/e/l 1.1-2.5 cm - 1,966
Cmplx rpr e/n/e/l 2.6-7.5 cm - 1,966
Cmplx rpr e/n/e/l addl 5cm/< - 1,352
Late closure of wound - 1,628
Tis trnfr s/a/l 10.1-30 sqcm - 1,2109
Tis trnfr f/c/c/m/n/a/g/h/f - 1,2517
Tis trnfr e/n/e/l 10 sq cm/< - 1,2517
Skin pinch graft - 1,757
Epidrm autogrft trnk/arm/leg - 1,2712
Epidrm autogrft t/a/l add-on - 1,1456
Epidrm a-grft face/nck/hf/g - 1,3720
Skn splt a-grft fac/nck/hf/g - 1,3380
Abrasion lesion single - 1,424
Remove sacrum pressure sore - 1,3292.08
Remove sacrum pressure sore - 1,3292.08
Initial treatment of burn(s) - 1,306
Dress/debrid p-thick burn s - 1,309
Dress/debrid p-thick burn m - 1,506
Dress/debrid p-thick burn l - 1,506
Destruct premalg lesion - 1,292
Destruct premalg les 2-14 - 1,101
Destroy premal lesions 15/> - 1,446
Destruct b9 lesion 1-14 - 1,306
Destruct lesion 15 or more - 1,312
Chem caut of granltj tissue - 1,309
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,622
Destruction of skin lesions - 1,338
Destruction of skin lesions - 1,622
Destruction of skin lesions - 1,622
Destruction of skin lesions - 1,622
Cryotherapy of skin - 1,133
Skin peel therapy - 1,292
Skin tissue procedure - 1,296
Drainage of breast lesion - 1,974
Drain breast lesion add-on - 1,289
Incision of breast lesion - 1,2783
Bx breast 1st lesion strtctc - 1,4426
Bx breast add lesion strtctc - 1,4426
Bx breast 1st lesion us imag - 1,2535
Bx breast add lesion us imag - 1,2535
Bx breast 1st lesion mr imag - 1,2829
Bx breast add lesion mr imag - 1,2829
Bx breast percut w/o image - 1,2472
Bx Brst Perc Ndl Cor W/image - 1,812
Bx Brst Perc Auto Vac W/image - 1,1834
Perq device breast 1st imag - 1,1300
Perq device breast ea imag - 1,1300
Perq dev breast 1st strtctc - 1,2086
Perq dev breast add strtctc - 1,2086
Perq dev breast 1st us imag - 1,1300
Perq dev breast add us imag - 1,1300
Perq dev breast 1st mr guide - 1,1300
